,infrastructure damaged - embankment breached,District,Number,Details,Date
0,,Tamulpur,1,"Goreswar - Bangalipara Ring Bandh | Village Bangalipara | Dated 12/06/2022 The repaired portion of the east bank Ring Bandh of sub tributary River Deosunga has been damaged due to overtopping of water. Approximate damage 10 metres.Flash flood condition occurred in the morning and gradually receded, now the situation is normal.",12-06-2022
1,,Total,1,,12-06-2022
