,infrastructure damaged - embankment breached,District,Number,Details,Date
0,,Barpeta,1,"Chenga - Immediate measure to b/dyke from Bahari to Baghbar | Fulbari to Barbaradi | Immediate measure to b/dyke from Bahari to Baghbar for recoupment of breach like damages in between ch.42425m to ch.55600m which occurred on 20/06/2022 reported by WR deptt on 30/7/2022 | (Long - 0.000000, Lat - 0.000000)",30-07-2022
1,,Total,1,,30-07-2022
