,infrastructure damaged - embankment breached,District,Number,Details,Date
0,,Darrang,1,"Patharighat - DUNI FIS under Irrigation Deptt | Pandaghat | Afflux bundh of Duni FIS breached at Ch 800 mt as reported by JE Irrigation on 20.6.22 | (Long - 91.808914, Lat - 26.490462)",20-06-2022
1,,Lakhimpur,1,"Nowboicha - Romjan chuburi to subed chuburi Singra River Side Bund | Uttar Mahghuli | Romjan chuburi to subed chuburi Singra River Side Bund breached (approx 50Mtr) at Uttar Mahghuli on 20.06.2022. Report received from Nowboicha Block Development Office. | (Long - 0.000000, Lat - 0.000000)",20-06-2022
2,,Total,2,,20-06-2022
