,infrastructure damaged - embankment breached,District,Number,Details,Date
0,,Nagaon,1,Raha - Raha Chaki Hariamukh Meteka Embankment cum road | Durgajan | Date of occurence-21/05/2022 Total breach area-150 m Department-PWD Raha territorial Sub -Division,23-05-2022
1,,Total,1,,23-05-2022
