,infrastructure damaged - embankment breached,District,Number,Details,Date
0,,Udalguri,1,Mazbat - Paoripota to Udalguri jungle linked embankment | Udalguri jungle village | Paoripota village to udalguri jungle connecting embankment has been breached on 28/5/2022. Length- 55m(approx). Communication has been disrupted for pedestrians as well as vehicular traffics,30-05-2022
1,,Total,1,,30-05-2022
