,infrastructure damaged - embankment breached,District,Number,Details,Date
0,,Cachar,2,"Sonai - Dyke along B/B of River Rukni from Panibhora to Bagbabazar | Islamabad, Saptagram | Dyke along B/B of River Rukni from Panibhora to Bagbabazar and Dulagram to Tillagram Length 150m disrupted as per the report received from Water Resource Sonai Sub- Division, as on 26.05.22,  Dyke along R/B of river Sonai from Palonghat to Upwards | Sundari Pt-I | Dyke along R/B of river Sonai from Palonghat to Upwards Length 80m disrupted as per the report received from Water Resource Sonai Sub- Division, as on 26.05.22",27-05-2022
1,,Udalguri,2,"Kalaigaon - Pulin Baidya House to Subal Biswas house in the L/B of Noa | No 2 Amguri | The embankment has breached on 27/05/2022 due to erosion caused by receding flood water from river Noa covering a length of 350 ft and breadth of 4.5 ft.,  Embankment at Rabha Ghat in the L/B of river Noa | Niz Kaligaon | The embankment has breached on 27/05/2022 due to erosion caused by receding flood water from river Noa covering a length of 90 ft and breadth of 4.5 ft.",27-05-2022
2,,Total,4,,27-05-2022
