,infrastructure damaged - embankment breached,District,Number,Details,Date
0,,Baksa,9,"Baska - 1 No. Katligaon Loihabari Embankment breached on 18/6/2022 | 1 No. Katligaon | Date of occurrence: 18/6/2022 | (Long - 91.356646, Lat - 26.663722),  Embankment breach at Golding river at village Sripurdeor. | Sripurdeor | Date of occurrence: 18/6/2022 | (Long - 91.339878, Lat - 26.610664),  Embankment breached at Golding river at village Adalbari | Adalbari | Date of occurrence: 18/6/2022 | (Long - 91.323948, Lat - 26.597496),  Embankment breached at Bennabari Barband | Village Bennabari | Date of occurrence: 18/6/2022 | (Long - 91.355240, Lat - 26.588988),  Jorthan Nizara Bandh- Embankment Breached | Palashguri (Nathsupa) | Damaged on 18/06/2022 | (Long - 26.692116, Lat - 91.317392),  Dangar Dong (Jakhang Dong) on 18/6/2022 | Ahopa Pub Suburi near Kamaykha Das house | | (Long - 26.698016, Lat - 91.318241),  Dangar Dong on 18/6/2022 | Ahopa Pub Suburi near back side of Madan Das house | | (Long - 26.698364, Lat - 91.315732)",22-06-2022
1,,Barpeta,1,"Barpeta - Morachowlkhua (Kadong Extension) | Barpeta | damage 10 m approx Water Resourse barpeta DOO 19.06.2022 | (Long - 90.093500, Lat - 26.332000)",22-06-2022
2,,Total,10,,22-06-2022
