,infrastructure damaged - embankment breached,District,Number,Details,Date
0,,Udalguri,1,Harisinga - Breach of Credam Khalengdar | Khalengduar (Jalimukh) of Nonoi river | Breach of credam L/B-210 m at khalengduar (Jalimukh) erosion occurred by river Nonoi. Which is occurred from 15th May 2022 onwards.,21-05-2022
1,,Total,1,,21-05-2022
