,infrastructure damaged - embankment breached,District,Number,Details,Date
0,,Udalguri,1,"Udalguri - DRDA Bundh on the R/B of Golandi river | Dangdupur | As reported by WRD department on 08.07.2022, Breach Occured at the DRDA Bundh on R/B of Golandi river on 22.06.2022 at Dangdupur village around 1500m. | (Long - 92.125540, Lat - 26.737275)",09-07-2022
1,,Total,1,,09-07-2022
