,infrastructure damaged - embankment breached,District,Number,Details,Date
0,,Jorhat,3,"Teok - Left ring bund of river Mudoijan at Tangani | Tangani | Date- 30-07-2022 Approx. 25 feets | (Long - 94.419142, Lat - 26.779636),  Left ring bund of river Mudoijan at Pirakata Habi Chuk | Pirakata Habi Gaon | Date- 30-07-2022 Length- Approx. 25 feets | (Long - 94.413473, Lat - 26.799030),  Left ring bund of river Mudoijan at Pirakata Habi Gaon | Pirakata Habi Gaon near Padam TE | Date- 30-07-2022 Length- Approx. 20 feets | (Long - 94.409329, Lat - 26.804732)",31-07-2022
1,,Total,3,,31-07-2022
