,infrastructure damaged - embankment breached,District,Number,Details,Date
0,,Darrang,3,,18-06-2022
1,,Lakhimpur,2,"Nowboicha - Pabha River Panchayat Bund | Boloma | Pabha River Panchayat Bund breached (20Mtr) at Boloma on 18.06.2022. Report received from Nowboicha Block Development Office | (Long - 0.000000, Lat - 0.000000),  1 No. Pachnoi Ujoni Side Bund | 1 No. Pachnoi Ujoni | 1 No. Pachnoi Ujoni Side Bund breached (20Mtr, 30Mtr and 10 Mtr) at 1 No. Pachnoi on 17.06.2022. Report received from Nowboicha Block Development Office | (Long - 0.000000, Lat - 0.000000)",18-06-2022
2,,Sonitpur,1,"Thelamara - Breach length-220m | Village- Bhara Singri(Channel 3700-3920m) | Belsiri L/Bank embankment breached from Garuduba to Sotipahar due to river Belsiri on 17/06/2022 as reported by Water Resource Department on 18/06/2022. | (Long - 0.000000, Lat - 0.000000)",18-06-2022
3,,Tamulpur,1,"Goreswar - Nathkuchi East Bank | Village Nathkuchi | Dated 17/06/2022 breached at east embankment approximately 50 m damage | (Long - 91.701165, Lat - 26.619793)",18-06-2022
4,,Total,7,,18-06-2022
