,infrastructure damaged - embankment breached,District,Number,Details,Date
0,,Udalguri,1,Kalaigaon - The embankment at village Balipara in the R/B of river Noa | Balipara | The DRDA embankment has breached on 22/05/2022 due to erosion from river Noa covering a length of 25 meters and breadth of 5 meters approximately,22-05-2022
1,,Total,1,,22-05-2022
