,infrastructure damaged - embankment breached,District,Number,Details,Date
0,,Baksa,7,"Baska - Bamunpara embankment , River: Deojora 18/06/2022 | Belguripathar | | (Long - 26.637334, Lat - 91.324814),  Laphakuchi Majorsupa embankment on 18/06/2022 | Laphakuchi | | (Long - 26.639684, Lat - 91.314292),  Query hawk to Dighaldonga Medical Chawk at , on 18/06/2022 | B- Block | | (Long - 26.709273, Lat - 91.385394),  Jorthan Rivulet embankment on 18/06/2022 | Bhogpara Pub Doomni supa | | (Long - 26.717356, Lat - 91.342857),  2 No. Bhogpara Jorthan embankment on 18/06/2022 | 2 No. Bhogpara | | (Long - 26.673865, Lat - 91.306110),  Khalijan Embankment on 18/06/2022 | 1 No. Bhogpara | | (Long - 26.685105, Lat - 91.334953),  Paoraputha embankment on 18/06/2022 | 2 No. Bhogpara near Amarsing Basumatary house | | (Long - 26.685404, Lat - 91.336024)",21-06-2022
1,,Jorhat,1,"Teok - Left ring bund of river Mudoijan or Puthinadi at Tangani | Tangani | Date: 21-06-2022 Approximate length 15 feets. | (Long - 94.250891, Lat - 26.464669)",21-06-2022
2,,Total,8,,21-06-2022
