power_loss_id,disaster_id,department_id,division_id,htline_damaged_km,rate_km_htline,ltline_damaged_km,rate_km_ltline,ltpoles_damaged,rate_km_pole,funds_required,location,circle_id,totalht,totallt,totalpole,drttotal,drtdam,drtloss,incidentdate,CId,circle,division_name,district_best,subdistrict_best,subdistrict_alternative,tehsil_best
1024,4134,34,63,0,0,0.85,32000,1,500,0.28,Khel Chora,1024,0,0.27,0.01,0,0,0,12-03-2020,1024,Shimla,Suni,,Naina Devi,Nurpur,NAINA DEVI
1038,4196,34,65,4.7,50000,0,0,8,4000,2.67,"Baddi, Barotiwala & S/a",12,2.35,0,0.32,0,0,0,24-06-2020,12,Solan,Baddi,,,,
1054,2993,34,54,0,50000,0,50000,9,4000,0.36,"ESD Kot,No-I & No-II",5,0,0,0.36,0,0,100000,29-07-2020,5,Bilaspur,Bilaspur,,,,
1055,2993,34,55,0,50000,0,50000,24,4000,0.96,"ESD Bharari,Jhandutta & talai",5,0,0,0.96,0,0,100000,29-07-2020,5,Bilaspur,Ghumarwin,,,,
1080,2993,34,55,0,50000,1.2,50000,6,4000,0.84,ESD Jhandutta,5,0,0.6,0.24,0,0,100000,29-07-2020,5,Bilaspur,Ghumarwin,,,,
1098,4540,34,32,1.565,0.5,1.5,0.5,16,0.04,4.00E-05,"Lahru, Jolna, Magzine,Bakloh, Tornu,Fagot, Pukhri, Kanda and surrounding areas",1005,1.00E-05,1.00E-05,1.00E-05,2.00E-05,2,1,19-08-2020,1005,Dalhousie,Dalhousie,,,,
1112,4540,34,32,1.57,50000,1.5,50000,16,4000,4.175,"Lahru, Magzine",1005,0.785,0.75,0.64,2,2,100000,19-08-2020,1005,Dalhousie,Dalhousie,,,,
1116,4622,34,65,0,0,0,0,4,4000,0.16,"Goela, Barotiwala",12,0,0,0.16,0,0,0,18-08-2020,12,Solan,Baddi,,Amb,Nahan,AMB
1142,4689,34,54,0,50000,0.4,50000,3,4000,0.32,ESD Kot,5,0,0.2,0.12,0,0,100000,20-08-2020,5,Bilaspur,Bilaspur,Bilaspur,Bilaspur Sadar,,BILASPUR
1146,4772,34,65,0,0,0,0,4,4000,1.16,Goela,12,0,0,0.16,1,1,100000,18-08-2020,12,Solan,Baddi,Solan,Kandaghat,,KANDAGHAT
1163,4768,34,47,1.75,50000,1.5,50000,4,4000,1.785,H.T. Line damaged in UESD Barsar and Bijhar at Jabbal Kahairiyan and  Village Jaral respctively and 3 PHASE L.T. Line damaged at village Kalwal UESD Bijhar on Dated 20.08.20,6,0.875,0.75,0.16,0,0,0,20-08-2020,6,Hamirpur,Barsar,,,,
