class,age,male,female
0,0 to 1,1975.29,1748.8
1,1 to 5,7735.14,6836.34
10,10 to 15,11201.98,9852.63
15,15 to 20,12430.91,11154.74
20,20 to 25,14519.41,12748.55
25,25 to 30,14259.33,12361.61
30,30 to 35,14055.32,12089.26
35,35 to 40,12306.66,10746.05
40,40 to 45,10831.02,10171.29
45,45 to 50,9723.19,8958.81
5,5 to 10,10267.98,9143.29
50,50 to 55,8817.22,8338.16
55,55 to 60,7591.58,6249.27
60,60 to 65,4846,4549.09
65,65 to 70,3399.34,3335.95
70,70 to 75,2274.14,2469.96
75,75 to 80,1816.47,1873.29
80,80 and over,1570.63,1819.85
