class,age,male,female
0,0 to 1,457.71,401.88
1,1 to 5,1792.39,1571
10,10 to 15,2400.73,2129.81
15,15 to 20,2505.89,2330.48
20,20 to 25,2479.95,2440.38
25,25 to 30,2407.76,2408.59
30,30 to 35,2553.57,2500.56
35,35 to 40,2247.49,2216.85
40,40 to 45,1849.45,2028.47
45,45 to 50,1707.68,1843.45
5,5 to 10,2219.39,1974.16
50,50 to 55,1569.77,1792.85
55,55 to 60,1449.85,1458.74
60,60 to 65,1066.35,1097.94
65,65 to 70,739.8,779.13
70,70 to 75,492.32,623.98
75,75 to 80,422.49,517.78
80,80 and over,407.48,614.53
