class,age,male,female
0,0 to 1,316.23,277.62
1,1 to 5,1238.35,1085.27
10,10 to 15,1658.59,1471.3
15,15 to 20,1730.99,1609.85
20,20 to 25,1712.71,1685.73
25,25 to 30,1662.91,1664.04
30,30 to 35,1764.03,1727.8
35,35 to 40,1552.65,1531.79
40,40 to 45,1277.63,1401.64
45,45 to 50,1179.77,1273.84
5,5 to 10,1533.36,1363.82
50,50 to 55,1084.61,1239
55,55 to 60,1001.72,1008.17
60,60 to 65,736.9,758.81
65,65 to 70,511.23,538.5
70,70 to 75,340.23,431.31
75,75 to 80,292.03,357.95
80,80 and over,281.67,424.88
