Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
HPSEBL||CE(OP) South||SE(OP) Solan||Sr.Xen (E) Baddi,HPSEBL/BED/DB-Tender JOB No.24/25-26,2025_HPSEB_111042_1,Yes,Open Tender,Turn-key,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Scanned copy of tender cost and earnest money,28-Jul-2025 10:00 AM,19-Aug-2025 02:00 PM,28-Jul-2025 10:00 AM,19-Aug-2025 11:00 AM,,,28-Jul-2025 10:00 AM,19-Aug-2025 11:00 AM,26-Aug-2025 01:00 PM,"7,739",No,fixed,,Nil,Nil,1.0,extension of time1,Date,,1.0,ICICI BANK,590.0,Nil,Nil,No,Er. Deepak Verma,"Sr. Executive Engineer,
Electrical Division,
HPSEBL Baddi",HPSEBL/BED/DB-Tender JOB No.24/25-26,E Tendering on partial turnkey basis for providing  SOP to LWSS Landywal Sitalpur at village Shitalpur Chakjangi in Electrical Section Bus Stand Baddi under E Sub Division HPSEBL Baddi Name of Scheme Deposit Work,A Class Electrical License with Chief Electrical Inspector,,"7,73,877",Electrical Works,11 KV HT line 100kvs DTR and LT line,Tender,90.0,45.0,Baddi,173205.0,,,,Baddi,No,No,AOC
,,,,,,,,,,,,,,,,.pdf,A Class Electrical License with Chief Electrical Inspector,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Bid Capacity/turnover certificate with CA Certified of three year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,GST No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Pan Card No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Work Done Certificate/Completion Certificate as per SBD Volume I Section III Clause No 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Affidavit for Blacklisting/Change of Ownership/Litigation for last six month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Joint Venture if Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
