Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Dr. Yashwant Singh Parmar University of Horticulture and Forestry||Estate Organisation - YSPU||Construction Division - YSPU||Executive Engineer (Const.) - YSPU,No.UHF/Const.-1/Partfile /2025/-1344 dated 11.08.2025,2025_YSPU_112032_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Tender cost / earnest money in shape of DD / FDR,11-Aug-2025 05:00 PM,18-Aug-2025 11:10 AM,11-Aug-2025 05:30 PM,18-Aug-2025 10:00 AM,,,11-Aug-2025 05:30 PM,18-Aug-2025 10:00 AM,18-Aug-2025 03:05 PM,"18,000",No,fixed,,EE Dr YSP U,EE Dr. YSPU,1.0,DD - Demand Draft,"1,000",EE  Dr YSP U,EE Dr. YSPU,No,Executive Engineer,"Dr. YS Parmar, UHF, Nauni","Drilling and Lowering of Bore Well of COHF Thunag at Atal Aadarsh Vidhayala Gudehari, Gohar Mandi","Drilling and Lowering of Bore Well of COHF Thunag at Atal Aadarsh Vidhayala Gudehari, Gohar Mandi",Please refer Tender documents.,,,Civil Works,,Tender,75.0,30.0,"Gohar, Mandi",175029.0,,,,Nauni (Solan),No,No,AOC
,,,,,,,,,,,,,,,,.pdf,Contractor Registration alongwith all supporting documents like GST / EPF certificate,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Tender document duly signed by the bidder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,Bid Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
