revenue_ci,district_35,object_id,district_33,,,,
Bajali (Pt),BAJALI,124,Barpeta,,,,
Jalah (Pt),BAJALI,125,Barpeta,,,,
Sarupeta (Pt),BAJALI,265,Barpeta,,,,
Baganpara (Pt),BAKSA,260,Baksa,,,,
Barama,BAKSA,234,Baksa,,,,
Barnagar (Pt),BAKSA,231,Baksa,,,,
Baska,BAKSA,262,Baksa,,,,
Ghograpar (Pt),BAKSA,232,Baksa,,,,
Jalah (Pt),BAKSA,233,Baksa,,,,
Sarupeta (Pt),BAKSA,263,Baksa,,,,
Baghbor,BARPETA,121,Barpeta,,,,
Barnagar (Pt),BARPETA,264,Barpeta,,,,
Barpeta,BARPETA,122,Barpeta,,,,
Chenga,BARPETA,266,Barpeta,,,,
Kalgachia,BARPETA,120,Barpeta,,,,
Sarthebari,BARPETA,123,Barpeta,,,,
Biswanath,BISWANATH,249,Biswanath,,,,
Gohpur,BISWANATH,251,Biswanath,,,,
Halem,BISWANATH,250,Biswanath,,,,
Boitamari,BONGAIGAON,199,Bongaigaon,,,,
"Bongaigaon
(Pt)",BONGAIGAON,198,Bongaigaon,,,,
Manikpur,BONGAIGAON,202,Bongaigaon,,,,
Sidli (Pt-II),BONGAIGAON,201,Bongaigaon,,,,
Srijangram,BONGAIGAON,200,Bongaigaon,,,,
Katigorah,CACHAR,184,Cachar,,,,
Lakhipur,CACHAR,188,Cachar,,,,
Silchar,CACHAR,185,Cachar,,,,
Sonai,CACHAR,187,Cachar,,,,
Udharbond,CACHAR,186,Cachar,,,,
Mahmora,CHARAIDEO,248,Charaideo,,,,
Sapekhati,CHARAIDEO,278,Charaideo,,,,
Sonari,CHARAIDEO,279,Charaideo,,,,
Barnagar (Pt),CHIRANG,204,Chirang,,,,
Bengtal,CHIRANG,205,Chirang,,,,
Bijni (Pt),CHIRANG,207,Chirang,,,,
Kokrajhar (Pt),CHIRANG,203,Chirang,,,,
Sidli (Pt),CHIRANG,206,Chirang,,,,
Dalgaon (Pt),DARRANG,270,Darrang,,,,
Khoirabari (Pt),DARRANG,237,Darrang,,,,
Mangaldoi (Pt),DARRANG,269,Darrang,,,,
Patharighat (Pt),DARRANG,238,Darrang,,,,
Sipajhar,DARRANG,239,Darrang,,,,
