,revenue_ci,district
0,Gossaigaon (Pt),KOKRAJHAR
1,Bhawraguri,KOKRAJHAR
2,Dotoma,KOKRAJHAR
3,Kokrajhar (Pt),KOKRAJHAR
4,Bagribari (Pt),KOKRAJHAR
5,Golokganj (Pt),KOKRAJHAR
6,Dhubri (Pt),KOKRAJHAR
7,Chapar (Pt),KOKRAJHAR
8,Bagribari (Pt),DHUBRI
9,Agamoni,DHUBRI
10,Golakganj (Pt),DHUBRI
11,Dhubri (Pt),DHUBRI
12,Bilasipara (Pt),DHUBRI
13,Chapar (Pt),DHUBRI
14,Lakhipur,GOALPARA
15,Balijana,GOALPARA
16,Matia,GOALPARA
17,Dudhnoi,GOALPARA
18,Rangjuli,GOALPARA
19,Kalgachia,BARPETA
20,Baghbor,BARPETA
21,Barpeta,BARPETA
22,Sarthebari,BARPETA
23,Bajali (Pt),BAJALI
24,Jalah (Pt),BAJALI
25,Bhuragaon,MORIGAON
26,Laharighat,MORIGAON
27,Morigaon,MORIGAON
28,Mikirbheta,MORIGAON
29,Kaliabor,NAGAON
30,Phuloni,K.ANGLONG
31,Samaguri,NAGAON
32,Rupahi,NAGAON
33,Dhing,NAGAON
34,Nagaon,NAGAON
35,Raha,NAGAON
36,Kampur,NAGAON
37,Dhekiajuli (Pt),SONITPUR
38,Chariduar,SONITPUR
39,Tezpur,SONITPUR
40,Na-Duar,SONITPUR
41,Narayanpur,LAKHIMPUR
42,Bihpuria,LAKHIMPUR
43,Nowboicha,LAKHIMPUR
44,Kadam,LAKHIMPUR
45,North Lakhimpur,LAKHIMPUR
46,Dhakuakhana (Pt-I),LAKHIMPUR
47,Subansiri (Pt-I),LAKHIMPUR
48,Dhakuakhana (Pt-II),DHEMAJI
49,Subansiri (Pt-II),DHEMAJI
50,Dhemaji,DHEMAJI
51,Sissiborgaon,DHEMAJI
52,Jonai,DHEMAJI
53,Gogamukh,DHEMAJI
54,Sadiya,TINSUKIA
55,Doom Dooma,TINSUKIA
56,Tinsukia,TINSUKIA
57,Margherita,TINSUKIA
58,Dibrugarh West,DIBRUGARH
59,Dibrugarh East,DIBRUGARH
60,Chabua,DIBRUGARH
61,Tengakhat,DIBRUGARH
62,Moran,DIBRUGARH
63,Tingkhong,DIBRUGARH
64,Naharkatia,DIBRUGARH
65,Demow,SIVASAGAR
66,Sivsagar,SIVASAGAR
67,Amguri,SIVASAGAR
68,Nazira,SIVASAGAR
69,Jorhat West,JORHAT
70,Jorhat East,JORHAT
71,Teok,JORHAT
72,Sarupathar,JORHAT
73,Mariani,JORHAT
74,Bokakhat,GOLAGHAT
75,Khumtai,GOLAGHAT
76,Dergaon,GOLAGHAT
77,Golaghat,GOLAGHAT
78,Morangi,GOLAGHAT
79,Sarupathar,GOLAGHAT
80,Diphu,K.ANGLONG
81,Silonijan,K.ANGLONG
82,Umrangso,DIMA-HASAO
83,Haflong,DIMA-HASAO
84,Mahur,DIMA-HASAO
85,Maibong,DIMA-HASAO
86,Katigorah,CACHAR
87,Silchar,CACHAR
88,Udharbond,CACHAR
89,Sonai,CACHAR
90,Lakhipur,CACHAR
91,Karimganj,KARIMGANJ
92,Badarpur,KARIMGANJ
93,Nilambazar,KARIMGANJ
94,Patherkandi,KARIMGANJ
