,human lives lost - confirmed,District,Total,Male,Female,Children,Revenue Circlewise,,,,,Date
0,,Barpeta,2,0,0,2,"(Baghbar | 1), (Barpeta | 1), (Chenga | 0), (Kalgachia | 0), (Sarthebari | 0)",,,,,01-07-2022
1,,Cachar,6,4,1,1,"(Katigorah | 0), (Lakhipur | 0), (Silchar | 4), (Sonai | 1), (Udharbond | 1)",,,,,01-07-2022
2,,Karimganj,1,0,0,1,"(Badarpur | 0), (Karimganj | 0), (Nilambazar | 1), (Patherkandi | 0), (RK Nagar | 0)",,,,,01-07-2022
3,,Kokrajhar,1,1,0,0,"(Bagribari | 1), (Bhawraguri | 0), (Dotma | 0), (Gossaigaon | 0), (Kokrajhar | 0)",,,,,01-07-2022
4,,Lakhimpur,1,0,0,1,"(Bihpuria | 0), (Dhakuakhana | 0), (Kadam | 0), (Narayanpur | 0), (North Lakhimpur | 1), (Nowboicha | 0), (Subansiri | 0)",,,,,01-07-2022
5,,Nagaon,3,2,0,1,"(Kaliabor | 0), (Kampur | 0), (Nagaon | 2), (Raha | 1), (Rupahi | 0), (Samaguri | 0)",,,,,01-07-2022
6,,Total,14,7,1,6,,,,,,01-07-2022
