,human lives lost - confirmed,District,Total,Male,Female,,Children Revenue Circlewise,,,,Date
0,,Dhemaji,1,1,0,,0 (Jonai | 1),,,,16-09-2022
1,,Total,1,1,0,,0,,,,16-09-2022
