,human lives lost - confirmed,District,Total,Male Female Children,,,Revenue Circlewise,,,,,Date
0,,Nagaon,2,1 0 1,,,"(Kampur | 1), (Nagaon | 0), (Raha | 1)",,,,,26-05-2022
1,,Total,2,1 0 1,,,,,,,,26-05-2022
