,human lives lost - confirmed,DistrictTotalMaleFemaleChildrenRevenue Circlewise,,,,,,,,,,Date
0,,"Udalguri1100(Harisinga | 0), (Kalaigaon | 0), (Khairabari | 1), (Mazbat | 0), (Udalguri | 0)",,,,,,,,,,17-05-2022
1,,Total1100,,,,,,,,,,17-05-2022
