,human lives lost - confirmed,District,Total,Male,Female,Children,Revenue Circlewise,,,,,Date
0,,Cachar,1,1,0,0,"(Katigorah | 0), (Lakhipur | 0), (Silchar | 0), (Sonai | 1), (Udharbond | 0)",,,,,20-06-2022
1,,Darrang,3,3,0,0,"(Dalgaon | 1), (Mangaldoi | 1), (Patharighat | 0), (Sipajhar | 1)",,,,,20-06-2022
2,,Dibrugarh,1,0,1,0,(Chabua | 1),,,,,20-06-2022
3,,Hailakandi,1,0,0,1,"(Algapur | 0), (Hailakandi | 1), (Katlicherra | 0), (Lala | 0)",,,,,20-06-2022
4,,Hojai,1,1,0,0,"(Doboka | 0), (Hojai | 1), (Lanka | 0)",,,,,20-06-2022
5,,Kamrup,1,0,0,1,"(Chamaria | 0), (Chaygaon | 0), (Goroimari | 0), (Hajo | 0), (Kamalpur | 0), (Kayan | 0), (North Ghy | 0), (Palashbari | 0), (Rangia | 1)",,,,,20-06-2022
6,,Lakhimp,1,1,0,0,"(Bihpuria | 0), (Dhakuakhana | 0), (Kadam | 1),",,,,,20-06-2022
7,,ur,,,,,"(Narayanpur | 0), (North Lakhimpur | 0), (Nowboicha | 0), (Subansiri | 0)",,,,,20-06-2022
8,,Nagaon,2,2,0,0,"(Dhing | 0), (Kaliabor | 0), (Kampur | 2), (Nagaon | 0), (Raha | 0), (Rupahi | 0), (Samaguri | 0)",,,,,20-06-2022
9,,Total,11,8,1,2,,,,,,20-06-2022
