,human lives lost - confirmed,District,Total,Male,Female,Children,Revenue Circlewise,,,,,Date
0,,Dima-Hasao,1,1,0,0,(Haflong | 1),,,,,16-06-2022
1,,Goalpara,2,0,0,2,"(Balijana | 2), (Lakhipur | 0), (Rongjuli | 0)",,,,,16-06-2022
2,,Udalguri,1,0,1,0,"(Harisinga | 0), (Kalaigaon | 0), (Khairabari | 0), (Mazbat | 0), (Udalguri | 1)",,,,,16-06-2022
3,,Total,4,1,1,2,,,,,,16-06-2022
