,relief distributed,District,Rice (in Q),Dal (in Q),Salt (in Q),M. Oil (in L),Cattle Feed - Green Fooder (in Q),Cattle Feed - Wheat Bran (in Q),Cattle Feed - Rice Bran (in Q),,,,Date
0,,Bajali,6.50,1.15,0.47,36.50,0.00,0.00,0.00,,,,04-08-2022
1,,Udalguri,8.79,1.55,0.46,46.37,0.00,0.00,0.00,,,,04-08-2022
2,,Total,15.29,2.70,0.93,82.87,0.00,0.00,0.00,,,,04-08-2022
