,relief distributed,District,Rice (in Q),Dal (in Q),Salt (in Q),M. Oil (in L),Cattle Feed - Green Fooder (in Q),Cattle Feed - Wheat Bran (in Q),Cattle Feed - Rice Bran (in Q),,,Date
0,,Barpeta,2130.00,0.00,0.00,0.00,0.00,0.00,0.00,,,27-06-2022
1,,Cachar,1241.70,209.10,87.85,2407.20,0.00,0.00,0.00,,,27-06-2022
2,,Darrang,14.64,2.55,0.76,76.00,0.00,0.00,205.00,,,27-06-2022
3,,Dima-Hasao,16.17,1.54,0.77,77.00,0.00,0.00,0.00,,,27-06-2022
4,,Hailakandi,599.41,109.38,33.95,3395.44,0.00,0.00,0.00,,,27-06-2022
5,,Kamrup,2014.06,345.85,102.08,11887.50,0.00,2016.20,0.00,,,27-06-2022
6,,Karimganj,68.48,35.29,10.59,39.00,0.00,0.00,50.00,,,27-06-2022
7,,Lakhimpur,0.18,0.03,0.10,1.00,0.00,0.00,0.00,,,27-06-2022
8,,Morigaon,598.91,106.46,31.94,2983.83,0.00,12.00,68.00,,,27-06-2022
9,,Nagaon,842.71,849.61,257.02,945.18,0.00,930.00,0.00,,,27-06-2022
10,,Tamulpur,16.26,2.88,0.90,9.00,0.00,0.00,0.00,,,27-06-2022
11,,Total,7542.52,1662.69,525.96,21821.15,0.00,2958.20,323.00,,,27-06-2022
