,relief distributed,District,Rice (in Q),Dal (in Q),Salt (in Q),M. Oil (in L),Cattle Feed - Green Fooder (in Q),Cattle Feed - Wheat Bran (in Q),Cattle Feed - Rice Bran (in Q),,,Date
0,,Bajali,55.06,28.09,2.21,216.22,0.00,0.00,0.00,,,18-06-2022
1,,Baksa,179.76,34.43,10.33,813.05,0.00,0.00,0.00,,,18-06-2022
2,,Barpeta,9017.57,1732.26,913.42,26.00,0.00,5314.00,0.00,,,18-06-2022
3,,Bongaigaon,203.25,39.53,10.98,1097.75,0.00,1398.00,0.00,,,18-06-2022
4,,Cachar,8.80,1.85,0.53,52.00,0.00,0.00,0.00,,,18-06-2022
5,,Chirang,92.50,17.60,5.28,512.92,0.00,0.00,0.00,,,18-06-2022
6,,Darrang,1024.80,210.89,82.77,4227.00,0.00,0.00,922.75,,,18-06-2022
7,,Dhemaji,467.17,83.39,25.02,2372.87,0.00,160.50,0.00,,,18-06-2022
8,,Dhubri,105.17,19.42,5.83,582.51,0.00,950.54,0.00,,,18-06-2022
9,,Dima-Hasao,1.26,0.12,0.06,6.00,0.00,0.00,0.00,,,18-06-2022
10,,Goalpara,20.71,3.77,1.14,113.22,0.00,0.00,0.00,,,18-06-2022
11,,Hojai,300.00,7.80,3.25,156.00,0.00,0.00,60.00,,,18-06-2022
12,,Kamrup,206.06,67.51,19.98,1997.68,0.00,1494.00,0.00,,,18-06-2022
13,,Kamrup (M),0.60,0.10,0.03,3.00,0.00,0.00,0.00,,,18-06-2022
14,,Karbi Anglong West,129.56,24.46,7.34,7.34,0.00,0.00,0.00,,,18-06-2022
15,,Karimganj,13.00,1.20,0.50,0.00,0.00,0.00,0.00,,,18-06-2022
16,,Kokrajhar,56.51,10.38,3.12,311.58,4.50,0.00,0.00,,,18-06-2022
17,,Lakhimpur,549.12,101.78,30.53,3137.88,0.00,0.00,126.30,,,18-06-2022
18,,Nagaon,22.17,4.04,1.21,0.00,0.00,0.00,0.00,,,18-06-2022
19,,Nalbari,277.67,62.08,19.93,1993.00,0.00,0.00,0.00,,,18-06-2022
20,,Sonitpur,506.45,95.66,28.62,0.00,0.00,226.40,0.00,,,18-06-2022
21,,Tamulpur,363.20,64.01,19.43,393.09,0.00,0.00,0.00,,,18-06-2022
22,,Udalguri,461.50,87.19,20.02,186.59,0.00,0.00,0.00,,,18-06-2022
23,,Total,14061.89,2697.56,1211.53,18205.70,4.50,9543.44,1109.05,,,18-06-2022
