,relief distributed,District,Rice (in Q),Dal (in Q),Salt (in Q),M. Oil (in L),Cattle Feed - Green Fooder (in Q),Cattle Feed - Wheat Bran (in Q),Cattle Feed - Rice Bran (in Q),,,,Date
0,,Dima-Hasao,1.08,0.18,0.00,18.00,0.00,0.00,0.00,,,,19-07-2022
1,,Total,1.08,0.18,0.00,18.00,0.00,0.00,0.00,,,,19-07-2022
