,relief distributed,District,Rice (in Q),Dal (in Q),Salt (in Q),M. Oil (in L),Cattle Feed - Green Fooder (in Q),Cattle Feed - Wheat Bran (in Q),Cattle Feed - Rice Bran (in Q),,Date
0,,Dhemaji,12.61,2.45,0.73,0.00,0.00,0.00,0.00,,09-09-2022
1,,Total,12.61,2.45,0.73,0.00,0.00,0.00,0.00,,09-09-2022
