,relief distributed,District,Rice (in Q),Dal (in Q),Salt (in Q),M. Oil (in L),Cattle Feed - Green Fooder (in Q),Cattle Feed - Wheat Bran (in Q),Cattle Feed - Rice Bran (in Q),,,Date
0,,Bajali,1.00,1.80,1.00,48.00,0.00,200.00,0.00,,,28-06-2022
1,,Barpeta,0.00,0.00,0.00,0.00,0.00,217.00,0.00,,,28-06-2022
2,,Biswanath,104.81,19.16,0.00,0.00,0.00,280.08,0.00,,,28-06-2022
3,,Bongaigaon,165.20,30.30,9.09,908.28,0.00,134.66,0.00,,,28-06-2022
4,,Cachar,0.00,0.00,0.00,0.00,0.00,0.00,197.40,,,28-06-2022
5,,Chirang,14.35,2.63,0.80,79.92,120.00,50.00,0.00,,,28-06-2022
6,,Darrang,263.14,49.05,14.71,1471.50,0.00,0.00,578.50,,,28-06-2022
7,,Dhemaji,19.27,3.52,1.05,105.93,0.00,0.00,0.00,,,28-06-2022
8,,Dima-Hasao,4.20,0.20,0.20,20.00,0.00,0.00,0.00,,,28-06-2022
9,,Hailakandi,17.55,3.33,1.01,101.12,0.00,0.00,0.00,,,28-06-2022
10,,Hojai,8.50,1.50,0.50,50.00,0.00,0.00,100.00,,,28-06-2022
11,,Kamrup,305.00,102.00,40.00,400.00,0.00,200.00,0.00,,,28-06-2022
12,,Karimganj,43.88,8.27,3.16,1259.00,0.00,45.00,60.00,,,28-06-2022
13,,Lakhimpur,0.96,0.17,0.05,5.13,0.00,0.00,380.00,,,28-06-2022
14,,Morigaon,163.89,28.80,8.67,6831.54,0.00,0.00,100.00,,,28-06-2022
15,,Nagaon,474.64,85.37,25.61,2561.13,0.00,301.38,1462.50,,,28-06-2022
16,,Nalbari,11.85,2.04,0.61,61.20,0.00,0.00,0.00,,,28-06-2022
17,,Sonitpur,2.82,0.51,0.15,0.00,0.00,0.00,0.00,,,28-06-2022
18,,Tamulpur,5.00,0.75,0.22,22.00,0.00,0.00,0.00,,,28-06-2022
19,,Tinsukia,7.60,1.48,0.45,45.00,0.00,0.00,0.00,,,28-06-2022
20,,Total,1613.66,340.88,107.28,13969.75,120.00,1428.12,2878.40,,,28-06-2022
