,relief distributed,District,Rice (in Q),Dal (in Q),Salt (in Q),M. Oil (in L),Cattle Feed - Green Fooder (in Q),Cattle Feed - Wheat Bran (in Q),Cattle Feed - Rice Bran (in Q),,,Date
0,,Barpeta,213.00,0.00,0.00,0.00,0.00,0.00,0.00,,,05-07-2022
1,,Chirang,0.31,0.06,0.02,2.00,0.00,0.00,0.00,,,05-07-2022
2,,Dibrugarh,33.93,5.82,1.91,180.30,0.00,130.20,58.36,,,05-07-2022
3,,Karimganj,137.99,24.99,12.85,582.80,0.00,355.94,130.00,,,05-07-2022
4,,Lakhimpur,0.00,0.00,0.00,0.00,0.00,0.00,133.00,,,05-07-2022
5,,Morigaon,3.20,0.60,0.18,17.91,0.00,146.80,68.00,,,05-07-2022
6,,Nagaon,1139.75,206.70,62.10,0.00,0.00,0.00,0.00,,,05-07-2022
7,,Sivasagar,2.79,0.54,0.16,0.00,0.00,0.00,0.00,,,05-07-2022
8,,Total,1530.97,238.71,77.22,783.01,0.00,632.94,389.36,,,05-07-2022
