,relief distributed,District,Rice (in Q),Dal (in Q),Salt (in Q),M. Oil (in L),Cattle Feed - Green Fooder (in Q),Cattle Feed - Wheat Bran (in Q),Cattle Feed - Rice Bran (in Q),,,Date
0,,Cachar,100.00,25.13,7.54,754.00,0.00,0.00,0.00,,,25-05-2022
1,,Darrang,0.00,0.00,0.00,0.00,0.00,0.00,71.40,,,25-05-2022
2,,Dima-Hasao,166.73,3.85,1.27,413.00,0.00,0.00,0.00,,,25-05-2022
3,,Hailakandi,0.98,0.17,0.50,5.00,0.00,0.00,0.00,,,25-05-2022
4,,Hojai,1.50,0.35,0.00,0.00,0.00,0.00,1.00,,,25-05-2022
5,,Kamrup,3.65,0.65,0.20,20.00,0.00,0.00,0.00,,,25-05-2022
6,,Karbi Anglong West,52.22,9.39,2.81,281.00,0.00,0.00,0.00,,,25-05-2022
7,,Karimganj,12.81,2.18,0.66,65.52,0.00,0.00,0.00,,,25-05-2022
8,,Morigaon,315.14,57.22,17.17,0.00,0.00,76.00,0.00,,,25-05-2022
9,,Nagaon,193.11,34.81,10.44,0.00,0.00,30.00,0.00,,,25-05-2022
10,,Total,846.14,133.75,40.59,1538.52,0.00,106.00,72.40,,,25-05-2022
