,relief distributed,District,Rice (in Q),Dal (in Q),Salt (in Q),M. Oil (in L),Cattle Feed - Green Fooder (in Q),Cattle Feed - Wheat Bran (in Q),Cattle Feed - Rice Bran (in Q),,,Date
0,,Biswanath,455.49,84.79,0.12,11.52,0.00,537.08,0.00,,,30-06-2022
1,,Cachar,1014.48,229.51,62.80,8140.19,0.00,0.00,0.00,,,30-06-2022
2,,Chirang,3.89,0.71,0.21,21.33,0.00,0.00,0.00,,,30-06-2022
3,,Darrang,263.00,57.60,19.00,1540.00,0.00,0.00,270.00,,,30-06-2022
4,,Dhemaji,1120.92,202.47,60.72,3018.37,0.00,0.00,145.59,,,30-06-2022
5,,Dibrugarh,90.78,16.71,5.01,1.54,0.00,0.00,0.00,,,30-06-2022
6,,Dima-Hasao,49.77,4.74,1.71,237.00,0.00,0.00,0.00,,,30-06-2022
7,,Hailakandi,46.55,8.76,2.63,262.68,0.00,50.00,0.00,,,30-06-2022
8,,Hojai,0.00,0.00,0.00,0.00,0.00,0.00,50.00,,,30-06-2022
9,,Kamrup,8.25,62.65,0.50,2577.00,0.00,0.00,0.00,,,30-06-2022
10,,Karimganj,192.96,33.65,9.34,21.50,0.00,0.00,0.00,,,30-06-2022
11,,Lakhimpur,403.79,73.11,21.95,2194.23,0.00,0.00,0.00,,,30-06-2022
12,,Majuli,0.00,0.00,0.00,0.00,0.00,100.00,0.00,,,30-06-2022
13,,Morigaon,129.33,23.45,7.03,703.35,0.00,148.00,440.00,,,30-06-2022
14,,Nagaon,3992.36,29.48,8.84,884.43,0.00,250.00,200.00,,,30-06-2022
15,,Sonitpur,2.90,0.53,0.16,0.16,0.00,0.00,0.00,,,30-06-2022
16,,Tamulpur,2.79,0.50,0.15,14.85,0.00,0.00,0.00,,,30-06-2022
17,,Tinsukia,160.62,32.35,9.71,716.57,0.00,0.00,0.00,,,30-06-2022
18,,Total,7937.8,861.01,209.88,20344.72,0.00,1085.08,1105.59,,,30-06-2022
19,,,8,,,,,,,,,30-06-2022
