,relief distributed,District,Rice (in Q),Dal (in Q),Salt (in Q),M. Oil (in L),Cattle Feed - Green Fooder (in Q),Cattle Feed - Wheat Bran (in Q),Cattle Feed - Rice Bran (in Q),,,Date
0,,Biswanath,518.12,93.84,0.70,69.66,0.00,959.56,0.00,,,29-06-2022
1,,Cachar,7696.84,1473.31,2813.77,39879.52,0.00,0.00,680.00,,,29-06-2022
2,,Chirang,36.11,6.52,1.93,192.61,0.00,0.00,0.00,,,29-06-2022
3,,Darrang,59.56,11.10,3.33,333.00,0.00,0.00,556.70,,,29-06-2022
4,,Dhemaji,142.39,26.03,7.80,781.02,0.00,0.00,0.00,,,29-06-2022
5,,Dhubri,107.62,20.23,6.08,606.84,0.00,4935.30,0.00,,,29-06-2022
6,,Dibrugarh,4.98,0.92,0.28,27.50,0.00,1.73,0.00,,,29-06-2022
7,,Dima-,19.52,1.30,0.94,0.65,0.00,0.00,0.00,,,29-06-2022
8,,Hasao,,,,,,,,,,29-06-2022
9,,Hailakandi,537.91,83.09,30.41,3041.00,0.00,0.00,0.00,,,29-06-2022
10,,Hojai,62.00,3.00,1.00,62.00,0.00,0.00,25.00,,,29-06-2022
11,,Kamrup,375.00,107.00,8.00,1080.00,0.00,360.00,0.00,,,29-06-2022
12,,Karimganj,1412.40,249.41,82.92,0.00,0.00,0.00,136.45,,,29-06-2022
13,,Lakhimpur,200.35,36.17,10.86,1085.20,0.00,0.00,0.00,,,29-06-2022
14,,Morigaon,1557.43,278.60,83.58,8357.85,0.00,381.20,100.00,,,29-06-2022
15,,Nagaon,2102.50,317.80,95.34,2670.10,0.00,0.00,500.00,,,29-06-2022
16,,Tinsukia,223.45,40.90,12.25,1225.00,0.00,0.00,0.00,,,29-06-2022
17,,Udalguri,10.26,1.85,0.56,55.62,0.00,0.00,0.00,,,29-06-2022
18,,Total,15066.44,2751.07,3159.75,59467.57,0.00,6637.79,1998.15,,,29-06-2022
