,relief distributed,District,Rice (in Q),Dal (in Q),Salt (in Q),M. Oil (in L),Cattle Feed - Green Fooder (in Q),Cattle Feed - Wheat Bran (in Q),Cattle Feed - Rice Bran (in Q),,,Date
0,,Biswanath,53.89,10.21,0.00,0.00,0.00,295.00,0.00,,,02-07-2022
1,,Cachar,145.37,27.17,7.32,732.00,0.00,0.00,0.00,,,02-07-2022
2,,Charaideo,0.84,0.15,0.50,0.50,0.00,0.00,0.00,,,02-07-2022
3,,Chirang,17.46,2.99,1.55,133.03,0.00,40.00,0.00,,,02-07-2022
4,,Darrang,111.48,110.85,8.73,2122.00,0.00,0.00,0.00,,,02-07-2022
5,,Dhemaji,0.00,0.00,0.00,0.00,0.00,1911.22,0.00,,,02-07-2022
6,,Dibrugarh,125.95,23.07,6.20,188.01,0.00,227.50,0.00,,,02-07-2022
7,,Dima-Hasao,1.95,0.16,0.00,5.00,0.00,0.00,0.00,,,02-07-2022
8,,Hailakandi,0.00,0.00,0.00,0.00,0.00,25.00,0.00,,,02-07-2022
9,,Karimganj,61.00,11.16,3.31,312.30,0.00,320.00,354.00,,,02-07-2022
10,,Lakhimpur,354.04,64.15,19.24,1924.00,20.00,0.00,721.46,,,02-07-2022
11,,Morigaon,609.49,111.00,33.30,946.49,0.00,660.00,0.00,,,02-07-2022
12,,Sivasagar,106.71,19.39,5.82,0.00,0.00,0.00,0.00,,,02-07-2022
13,,Sonitpur,37.44,6.92,2.08,142.50,0.00,8.50,0.00,,,02-07-2022
14,,Tamulpur,31.59,6.03,1.81,180.00,0.00,0.00,0.00,,,02-07-2022
15,,Tinsukia,26.35,4.80,1.45,145.75,0.00,0.00,0.00,,,02-07-2022
16,,Total,1683.56,398.05,91.31,6831.58,20.00,3487.22,1075.46,,,02-07-2022
