,relief distributed,District,Rice (in Q),Dal (in Q),Salt (in Q),M. Oil (in L),Cattle Feed - Green Fooder (in Q),Cattle Feed - Wheat Bran (in Q),Cattle Feed - Rice Bran (in Q),,Date
0,,Golaghat,23.27,4.16,1.25,0.00,0.00,0.00,0.00,,14-09-2022
1,,Total,23.27,4.16,1.25,0.00,0.00,0.00,0.00,,14-09-2022
