,relief distributed,District,Rice (in Q),Dal (in Q),Salt (in Q),M. Oil (in L),Cattle Feed - Green Fooder (in Q),Cattle Feed - Wheat Bran (in Q),Cattle Feed - Rice Bran (in Q),,,Date
0,,Baksa,74.04,14.80,4.14,443.85,0.00,182.27,0.00,,,25-06-2022
1,,Barpeta,2917.63,1066.85,567.00,937.71,0.00,6013.29,0.00,,,25-06-2022
2,,Chirang,5.04,0.91,0.27,27.00,0.00,0.00,0.00,,,25-06-2022
3,,Darrang,695.92,126.74,43.49,3989.93,0.00,0.00,766.00,,,25-06-2022
4,,Dhemaji,258.46,45.96,13.78,1378.80,0.00,0.00,0.00,,,25-06-2022
5,,Dibrugarh,0.00,0.00,0.00,0.00,0.00,33.38,0.00,,,25-06-2022
6,,Dima-Hasao,4.41,0.42,0.21,21.00,0.00,0.00,0.00,,,25-06-2022
7,,Hailakand,91.75,18.13,5.61,560.68,0.00,14.52,0.00,,,25-06-2022
8,,i,,,,,,,,,,25-06-2022
9,,Hojai,0.00,0.00,0.00,0.00,0.00,0.00,75.00,,,25-06-2022
10,,Kamrup,1971.74,104.65,28.38,3139.15,0.00,470.00,0.00,,,25-06-2022
11,,Karbi Anglong West,27.88,5.27,1.58,158.04,0.00,0.00,0.00,,,25-06-2022
12,,Karimganj,214.00,35.90,10.17,9.50,0.00,0.00,390.00,,,25-06-2022
13,,Lakhimpur,11.38,2.20,0.66,65.97,0.00,0.00,139.90,,,25-06-2022
14,,Morigaon,82.52,14.78,4.44,443.70,0.00,205.00,470.00,,,25-06-2022
15,,Nagaon,5002.77,945.02,283.51,23899.22,0.00,211.50,724.00,,,25-06-2022
16,,South Salmara,6.58,1.21,0.36,36.36,0.00,0.00,0.00,,,25-06-2022
17,,Tamulpur,4.41,0.50,0.15,15.00,0.00,0.00,0.00,,,25-06-2022
18,,Total,11368.53,2383.34,963.75,35125.91,0.00,7129.96,2564.90,,,25-06-2022
