,relief distributed,District,Rice (in Q),Dal (in Q),Salt (in Q),M. Oil (in L),Cattle Feed - Green Fooder (in Q),Cattle Feed - Wheat Bran (in Q),Cattle Feed - Rice Bran (in Q),,,Date
0,,Bajali,1860.00,395.00,100.64,16638.09,0.00,2159.88,0.00,,,23-06-2022
1,,Baksa,126.00,23.95,7.18,718.44,0.00,146.96,0.00,,,23-06-2022
2,,Barpeta,7781.55,1611.69,355.95,0.00,0.00,6708.80,0.00,,,23-06-2022
3,,Bongaigaon,267.07,50.43,15.13,294.54,0.00,294.40,0.00,,,23-06-2022
4,,Cachar,2750.27,539.85,174.03,11357.91,0.00,0.00,0.00,,,23-06-2022
5,,Chirang,19.62,3.74,0.85,74.95,0.00,0.00,0.00,,,23-06-2022
6,,Darrang,932.00,193.60,79.51,6824.00,0.00,60.00,221.24,,,23-06-2022
7,,Dhemaji,56.34,10.11,3.02,57.96,0.00,0.00,0.00,,,23-06-2022
8,,Dhubri,382.48,71.61,21.49,2637.15,0.00,5338.44,0.00,,,23-06-2022
9,,Dibrugarh,0.00,0.00,0.00,0.00,0.00,22.05,0.00,,,23-06-2022
10,,Dima-Hasao,4.77,0.42,0.09,33.00,0.00,0.00,0.00,,,23-06-2022
11,,Goalpara,205.33,37.36,11.21,1120.86,0.00,69.56,0.00,,,23-06-2022
12,,Golaghat,0.00,0.00,0.00,0.00,0.00,0.00,150.00,,,23-06-2022
13,,Hailakandi,289.43,51.31,15.43,1542.95,0.00,15.00,0.00,,,23-06-2022
14,,Hojai,638.00,75.94,15.70,1435.00,0.00,0.00,50.00,,,23-06-2022
15,,Kamrup,1501.68,306.99,47.70,7937.61,0.00,1579.00,0.00,,,23-06-2022
16,,Kamrup (M),0.00,0.00,0.00,0.00,0.00,248.00,0.00,,,23-06-2022
17,,Karbi Anglong West,60.11,11.35,3.41,340.56,0.00,0.00,0.00,,,23-06-2022
18,,Karimganj,2638.77,491.84,137.94,27.50,0.00,0.00,30.00,,,23-06-2022
19,,Lakhimpur,0.00,0.00,0.00,0.00,0.00,0.00,1462.46,,,23-06-2022
20,,Morigaon,149.36,26.66,8.01,167.58,90.00,223.60,0.00,,,23-06-2022
21,,Nagaon,523.64,95.45,28.64,2863.53,0.00,200.00,0.00,,,23-06-2022
22,,Nalbari,1027.91,183.78,55.08,5509.00,0.00,148.80,0.00,,,23-06-2022
23,,Sonitpur,92.07,13.91,5.04,0.00,0.00,353.84,0.00,,,23-06-2022
24,,Tamulpur,439.25,25.49,7.65,764.55,0.00,0.00,0.00,,,23-06-2022
25,,Tinsukia,5.77,1.12,0.33,33.84,0.00,0.00,0.00,,,23-06-2022
26,,Udalguri,289.79,79.30,18.48,1840.41,0.00,22.40,51.00,,,23-06-2022
27,,Total,22041.21,4300.90,1112.51,62219.43,90.00,17590.73,1964.70,,,23-06-2022
