,relief distributed,District,Rice (in Q),Dal (in Q),Salt (in Q),M. Oil (in L),Cattle Feed - Green Fooder (in Q),Cattle Feed - Wheat Bran (in Q),Cattle Feed - Rice Bran (in Q),,Date
0,,Dibrugarh,0.00,0.00,0.00,0.00,0.00,77.58,0.00,,13-10-2022
1,,Lakhimpur,223.45,41.56,12.63,1262.63,0.00,0.00,148.00,,13-10-2022
2,,Total,223.45,41.56,12.63,1262.63,0.00,77.58,148.00,,13-10-2022
