,relief distributed,District,Rice (in Q),Dal (in Q),Salt (in Q),M. Oil (in L),Cattle Feed - Green Fooder (in Q),Cattle Feed - Wheat Bran (in Q),Cattle Feed - Rice Bran (in Q),,,,Date
0,,Udalguri,0.36,0.12,0.04,4.00,0.00,0.00,0.00,,,,10-08-2022
1,,Total,0.36,0.12,0.04,4.00,0.00,0.00,0.00,,,,10-08-2022
