,relief distributed,District,Rice (in Q),Dal (in Q),Salt (in Q),M. Oil (in L),Cattle Feed - Green Fooder (in Q),Cattle Feed - Wheat Bran (in Q),Cattle Feed - Rice Bran (in Q),,,Date
0,,Baksa,0.00,0.00,0.00,0.00,0.00,40.00,0.00,,,26-06-2022
1,,Barpeta,868.02,99.53,29.86,602.00,0.00,1782.84,0.00,,,26-06-2022
2,,Cachar,416.53,147.45,13.00,1397.00,0.00,0.00,0.00,,,26-06-2022
3,,Darrang,368.04,66.96,20.08,2008.90,0.00,0.00,1795.30,,,26-06-2022
4,,Dhemaji,0.00,0.00,0.00,0.00,0.00,0.00,200.00,,,26-06-2022
5,,Dibrugarh,6.24,1.14,0.38,0.00,0.00,0.00,0.00,,,26-06-2022
6,,Goalpara,0.00,0.00,0.00,0.00,0.00,59.47,0.00,,,26-06-2022
7,,Hailakandi,663.21,138.20,40.49,4049.00,0.00,0.00,0.00,,,26-06-2022
8,,Kamrup,579.28,103.74,31.02,3102.26,0.00,364.40,0.00,,,26-06-2022
9,,Karbi Anglong West,25.32,4.76,1.43,142.83,0.00,0.00,0.00,,,26-06-2022
10,,Karimganj,559.94,105.17,31.44,5598.00,0.00,160.00,36.80,,,26-06-2022
11,,Morigaon,0.00,0.00,0.00,0.00,0.00,212.40,50.20,,,26-06-2022
12,,Nagaon,0.00,0.00,0.00,0.00,0.00,1193.00,375.00,,,26-06-2022
13,,Udalguri,35.95,6.52,1.96,196.10,0.00,58.80,25.40,,,26-06-2022
14,,Total,3522.53,673.47,169.66,17096.09,0.00,3870.91,2482.70,,,26-06-2022
