,relief distributed,District,Rice (in Q),Dal (in Q),Salt (in Q),M. Oil (in L),Cattle Feed - Green Fooder (in Q),Cattle Feed - Wheat Bran (in Q),Cattle Feed - Rice Bran (in Q),,,Date
0,,Bajali,0.00,0.00,0.00,0.00,0.00,678.80,0.00,,,01-07-2022
1,,Biswanath,39.31,7.04,0.00,0.00,0.00,358.00,0.00,,,01-07-2022
2,,Cachar,4479.25,924.29,279.16,19791.99,0.00,0.00,0.00,,,01-07-2022
3,,Darrang,212.55,38.94,11.68,1168.00,0.00,8.00,86.10,,,01-07-2022
4,,Dhemaji,183.02,33.17,10.65,487.17,0.00,0.00,0.00,,,01-07-2022
5,,Dibrugar,157.9,28.11,8.37,160.20,0.00,52.50,0.00,,,01-07-2022
6,,h,6,,,,,,,,,01-07-2022
7,,Dima-Hasao,95.36,10.47,0.44,331.00,0.00,0.00,0.00,,,01-07-2022
8,,Hailakandi,2.82,0.52,0.16,16.00,0.00,0.00,0.00,,,01-07-2022
9,,Hojai,48.00,7.20,1.50,182.00,0.00,0.00,25.00,,,01-07-2022
10,,Kamrup,0.00,0.00,0.00,0.00,0.00,195.00,0.00,,,01-07-2022
11,,Karbi Anglong West,722.14,137.19,41.07,4106.61,0.00,0.00,200.00,,,01-07-2022
12,,Karimganj,25.86,4.75,1.41,93.54,0.00,0.00,28.00,,,01-07-2022
13,,Lakhimpur,180.23,33.24,9.96,164.33,7.00,0.00,391.55,,,01-07-2022
14,,Majuli,0.00,0.00,0.00,0.00,0.00,50.00,150.00,,,01-07-2022
15,,Morigaon,133.33,24.17,7.25,724.86,0.00,380.00,0.00,,,01-07-2022
16,,Nagaon,219.39,40.12,12.04,1203.48,0.00,410.00,0.00,,,01-07-2022
17,,Sonitpur,37.97,6.97,2.09,1.56,0.00,40.34,0.00,,,01-07-2022
18,,Tinsukia,47.35,8.83,2.65,265.14,0.00,0.00,0.00,,,01-07-2022
19,,Total,6584.54,1305.01,388.43,28695.88,7.00,2172.64,880.65,,,01-07-2022
