,relief distributed,District,Rice (in Q),Dal (in Q),Salt (in Q),M. Oil (in L),Cattle Feed - Green Fooder (in Q),Cattle Feed - Wheat Bran (in Q),Cattle Feed - Rice Bran (in Q),,,Date
0,,Barpeta,0.00,0.00,0.00,0.00,0.00,37.95,0.00,,,24-05-2022
1,,Cachar,760.00,279.90,112.77,6051.95,0.00,7819.14,0.00,,,24-05-2022
2,,Darrang,0.00,0.00,0.00,0.00,0.00,0.00,404.30,,,24-05-2022
3,,Dima-Hasao,54.77,0.00,0.30,336.00,0.00,0.00,0.00,,,24-05-2022
4,,Goalpara,0.00,0.00,0.00,0.00,0.00,93.41,0.00,,,24-05-2022
5,,Hailakandi,1.29,0.24,0.07,7.00,0.00,0.00,0.00,,,24-05-2022
6,,Hojai,13.00,1.95,0.60,38.00,0.00,0.00,52.00,,,24-05-2022
7,,Kamrup,3.65,0.65,0.20,20.00,0.00,0.00,0.00,,,24-05-2022
8,,Karbi Anglong West,12.81,2.43,0.73,72.81,0.00,0.00,0.00,,,24-05-2022
9,,Karimganj,41.09,7.38,2.21,221.31,0.00,0.00,0.00,,,24-05-2022
10,,Morigaon,45.37,8.10,2.43,0.00,0.00,250.00,0.00,,,24-05-2022
11,,Nagaon,85.71,15.20,4.56,0.00,0.00,505.00,0.00,,,24-05-2022
12,,Total,1017.69,315.85,123.87,6747.07,0.00,8705.50,456.30,,,24-05-2022
