,relief distributed,District,Rice (in Q),Dal (in Q),Salt (in Q),M. Oil (in L),Cattle Feed - Green Fooder (in Q),Cattle Feed - Wheat Bran (in Q),Cattle Feed - Rice Bran (in Q),,,Date
0,,Bajali,1105.98,466.95,117.21,6472.29,0.00,1279.30,0.00,,,20-06-2022
1,,Baksa,71.64,29.62,8.88,152.46,0.00,0.00,0.00,,,20-06-2022
2,,Barpeta,1281.89,232.34,69.70,0.00,0.00,841.00,0.00,,,20-06-2022
3,,Biswanath,2.25,0.41,0.12,12.42,0.00,506.16,0.00,,,20-06-2022
4,,Bongaigaon,608.71,114.70,34.62,2966.26,0.00,890.40,0.00,,,20-06-2022
5,,Cachar,577.20,148.60,42.19,4504.12,0.00,0.00,0.00,,,20-06-2022
6,,Chirang,88.95,17.15,5.35,536.11,70.00,0.00,0.00,,,20-06-2022
7,,Darrang,2243.00,406.27,125.30,11949.00,0.00,0.00,1413.00,,,20-06-2022
8,,Dhemaji,0.00,0.00,0.00,0.00,0.00,889.24,0.00,,,20-06-2022
9,,Dhubri,136.73,25.20,7.58,757.65,0.00,8300.03,0.00,,,20-06-2022
10,,Dibrugarh,0.00,0.00,0.00,0.00,0.00,137.09,0.00,,,20-06-2022
11,,Dima-Hasao,23.12,2.20,0.79,110.00,0.00,0.00,0.00,,,20-06-2022
12,,Goalpara,117.65,21.63,6.49,649.00,0.00,130.00,0.00,,,20-06-2022
13,,Golaghat,65.74,12.10,3.63,363.24,0.00,0.00,0.00,,,20-06-2022
14,,Hailakandi,154.10,30.34,8.63,863.11,0.00,0.00,0.00,,,20-06-2022
15,,Hojai,180.00,31.50,6.49,420.00,0.00,23.50,15.00,,,20-06-2022
16,,Kamrup,1486.66,284.21,70.25,7724.83,0.00,5405.89,0.00,,,20-06-2022
17,,Kamrup (M),0.00,0.00,0.00,0.00,0.00,200.00,0.00,,,20-06-2022
18,,Karbi Anglong West,94.16,18.13,5.44,543.96,0.00,0.00,0.00,,,20-06-2022
19,,Karimganj,928.22,179.19,54.13,3668.73,0.00,0.00,0.00,,,20-06-2022
20,,Kokrajhar,0.00,0.00,0.00,0.00,0.00,120.00,0.00,,,20-06-2022
21,,Lakhimpur,1492.57,276.33,82.29,8228.69,0.00,0.00,282.85,,,20-06-2022
22,,Morigaon,1142.10,206.45,61.93,0.00,0.00,400.00,0.00,,,20-06-2022
23,,Nagaon,1472.82,270.11,80.89,0.00,0.00,548.00,0.00,,,20-06-2022
24,,Nalbari,986.65,216.44,66.19,6619.00,0.00,0.00,0.00,,,20-06-2022
25,,Sonitpur,151.85,27.81,8.36,0.00,0.00,64.40,0.00,,,20-06-2022
26,,South Salmara,0.00,0.00,0.00,0.00,0.00,6318.00,0.00,,,20-06-2022
27,,Tamulpur,509.53,94.90,28.47,257.66,0.00,1488.39,0.00,,,20-06-2022
28,,Tinsukia,122.37,23.24,6.98,51.53,0.00,0.00,0.00,,,20-06-2022
29,,Udalguri,240.50,44.93,13.59,908.61,0.00,18.00,476.50,,,20-06-2022
30,,Total,15284.39,3180.75,915.50,57758.67,70.00,27559.40,2187.35,,,20-06-2022
