,relief distributed,District,Rice (in Dal (in Salt (in Q) Q) Q),,,M. Oil (in L),Cattle Feed - Green,Cattle Feed - Wheat Bran,Cattle Feed - Rice Bran (in Q),,,Date
0,,,,,,,Fooder (in Q),(in Q),,,,18-05-2022
1,,Bajali,0.00,0.00,0.00,0.00,0.00,82.68,0.00,,,18-05-2022
2,,Biswanath,244.34,43.48,2.67,132.39,0.00,79.38,0.00,,,18-05-2022
3,,Cachar,239.00,98.12,23.34,2360.70,0.00,80.00,0.00,,,18-05-2022
4,,Charaideo,2.63,0.47,0.17,0.17,0.00,0.00,0.00,,,18-05-2022
5,,Darrang,270.61,50.00,14.99,263.49,0.00,0.00,54.00,,,18-05-2022
6,,Dima-Hasao,9.43,1.82,0.78,44.74,0.00,0.00,0.00,,,18-05-2022
7,,Hailakandi,46.00,8.40,2.52,252.00,0.00,0.00,0.00,,,18-05-2022
8,,Hojai,344.05,63.88,19.17,1916.34,0.00,0.00,532.50,,,18-05-2022
9,,Kamrup,0.00,0.00,0.00,0.00,0.00,356.28,0.00,,,18-05-2022
10,,Karbi Anglong West,100.56,18.92,5.67,500.67,9.00,0.00,0.00,,,18-05-2022
11,,Karimganj,37.17,6.76,2.03,0.00,0.00,0.00,0.00,,,18-05-2022
12,,Nagaon,367.24,69.70,20.91,0.00,0.00,1200.00,0.00,,,18-05-2022
13,,Sonitpur,29.34,5.21,1.56,0.00,0.00,0.00,0.00,,,18-05-2022
14,,Udalguri,91.43,16.78,5.07,506.98,0.00,0.00,0.00,,,18-05-2022
15,,Total,1781.80,383.54,98.88,5977.48,9.00,1798.34,586.50,,,18-05-2022
