,relief distributed,District,Rice (in Q),Dal (in Q),Salt (in Q),M. Oil (in L),Cattle Feed - Green Fooder (in Q),Cattle Feed - Wheat Bran (in Q),Cattle Feed - Rice Bran (in Q),,,Date
0,,Bajali,0,0,0,0,0,102,0,,,17-05-2022
1,,Biswanath,32.66,5.94,1.78,178.29,0,0,80.65,,,17-05-2022
2,,Cachar,77.68,9.07,2.62,270.66,0,0,,,,17-05-2022
3,,Charaideo,2.05,0.38,0.11,0.11,0,0,,,,17-05-2022
4,,Dibrugarh,75.01,13.76,4.13,0,0,0,0000002,,,17-05-2022
5,,Hojai,371.84,65.01,19.44,1944.48,0,0,,,,17-05-2022
6,,Kamrup,2.52,0.45,0.14,13.62,0,0,,,,17-05-2022
7,,Karbi Anglong West,23.95,4.34,1.31,130.14,0,0,,,,17-05-2022
8,,Karimganj,9.12,1.68,0.5,0,0,0,,,,17-05-2022
9,,Nagaon,110.15,20.58,6.17,0,0,236,,,,17-05-2022
10,,Sonitpur,83.01,15.47,4.65,0,0,0,0000,,,17-05-2022
11,,Udalguri,84.84,15.25,4.57,457,0,0,,,,17-05-2022
12,,Total,872.83,151.93,45.42,2994.3,0,338,280.65,,,17-05-2022
