,relief distributed,District,Rice (in Q),Dal (in Q),Salt (in Q),M. Oil (in L),Cattle Feed - Green Fooder (in Q),Cattle Feed - Wheat Bran (in Q),Cattle Feed - Rice Bran (in Q),,,Date
0,,Bajali,2.00,0.50,0.40,40.00,0.00,0.00,0.00,,,16-06-2022
1,,Baksa,55.49,9.98,35.66,299.17,0.00,0.00,0.00,,,16-06-2022
2,,Chirang,71.99,12.97,3.90,389.62,0.00,0.00,0.00,,,16-06-2022
3,,Darrang,8.50,1.50,0.45,46.00,0.00,0.00,0.00,,,16-06-2022
4,,Dibrugarh,63.13,11.57,3.47,0.00,0.00,0.00,0.00,,,16-06-2022
5,,Dima-Hasao,29.40,2.80,0.50,140.00,0.00,0.00,0.00,,,16-06-2022
6,,Hojai,200.00,0.00,0.00,0.00,0.00,0.00,22.50,,,16-06-2022
7,,Kamrup (M),4.59,5.03,1.51,159.20,0.00,0.00,0.00,,,16-06-2022
8,,Kokrajhar,52.74,9.67,2.90,290.10,0.00,0.00,0.00,,,16-06-2022
9,,Tamulpur,180.71,32.35,9.72,972.90,0.00,0.00,0.00,,,16-06-2022
10,,Udalguri,8.97,1.68,0.51,0.00,0.00,0.00,0.00,,,16-06-2022
11,,Total,677.52,88.05,59.02,2336.99,0.00,0.00,22.50,,,16-06-2022
