,relief distributed,District,Rice (in Q),Dal (in Q),Salt (in Q),M. Oil (in L),Cattle Feed - Green Fooder (in Q),Cattle Feed - Wheat Bran (in Q),Cattle Feed - Rice Bran (in Q),,,,Date
0,,Biswanath,21.26,3.87,0.00,0.00,0.00,500.10,0.00,,,,18-07-2022
1,,Dima-Hasao,2.04,0.34,0.00,0.00,0.00,0.00,0.00,,,,18-07-2022
2,,Total,23.30,4.21,0.00,0.00,0.00,500.10,0.00,,,,18-07-2022
