,relief distributed,District,Rice (in Q),Dal (in Q),Salt (in Q),M. Oil (in L),Cattle Feed - Green Fooder (in Q),Cattle Feed - Wheat Bran (in Q),Cattle Feed - Rice Bran (in Q),,,Date
0,,Bajali,2370.70,843.00,61.00,24640.20,0.00,2513.39,0.00,,,21-06-2022
1,,Baksa,0.99,0.17,0.50,5.00,0.00,0.00,0.00,,,21-06-2022
2,,Barpeta,2882.70,598.84,175.57,57.00,0.00,6325.00,0.00,,,21-06-2022
3,,Biswanath,0.00,0.00,0.00,0.00,0.00,2140.50,0.00,,,21-06-2022
4,,Bongaigaon,1237.52,233.57,70.01,2135.04,0.00,120.00,0.00,,,21-06-2022
5,,Chirang,14.86,2.59,0.87,87.00,130.00,0.00,0.00,,,21-06-2022
6,,Darrang,3605.12,652.68,196.59,19443.00,0.00,25.00,1189.20,,,21-06-2022
7,,Dhemaji,416.65,77.49,23.26,496.89,0.00,0.00,0.00,,,21-06-2022
8,,Dhubri,4456.69,825.36,247.66,879.50,0.00,2036.64,0.00,,,21-06-2022
9,,Dima-Hasao,18.76,1.78,0.16,89.00,0.00,0.00,0.00,,,21-06-2022
10,,Goalpara,110.21,20.15,6.05,604.35,0.00,631.32,0.00,,,21-06-2022
11,,Golaghat,274.60,50.92,15.27,1527.75,0.00,0.00,4.70,,,21-06-2022
12,,Hailakandi,893.08,171.37,51.16,3390900.16,0.00,2.58,0.00,,,21-06-2022
13,,Hojai,220.00,33.30,9.75,528.00,0.00,0.00,75.00,,,21-06-2022
14,,Kamrup,1876.97,375.65,99.61,10069.26,0.00,2968.25,0.00,,,21-06-2022
15,,Kamrup (M),0.00,0.00,0.00,0.00,0.00,80.00,0.00,,,21-06-2022
16,,Karbi Anglong West,94.16,18.13,5.44,543.96,0.00,0.00,0.00,,,21-06-2022
17,,Karimganj,2008.99,373.98,86.84,0.00,0.00,0.00,165.00,,,21-06-2022
18,,Kokrajhar,0.00,0.00,0.00,0.00,0.00,432.40,0.00,,,21-06-2022
19,,Lakhimpur,238.23,43.98,13.19,1319.28,0.00,0.00,940.60,,,21-06-2022
20,,Majuli,273.59,52.21,15.66,1566.18,0.00,0.00,0.00,,,21-06-2022
21,,Morigaon,590.00,104.91,33.48,0.00,0.00,500.00,0.00,,,21-06-2022
22,,Nagaon,2830.44,530.10,159.03,0.00,0.00,0.00,0.00,,,21-06-2022
23,,Nalbari,1807.89,453.32,108.52,10861.00,0.00,0.00,0.00,,,21-06-2022
24,,Sonitpur,228.74,42.41,13.19,0.00,0.00,1243.82,0.00,,,21-06-2022
25,,South Salmara,2227.83,417.75,125.32,5.85,0.00,558.00,0.00,,,21-06-2022
26,,Tamulpur,596.58,110.40,33.16,64.29,0.00,0.00,490.00,,,21-06-2022
27,,Udalguri,64.45,12.32,3.70,369.61,0.50,56.80,0.00,,,21-06-2022
28,,Total,29339.75,6046.38,1554.99,3466192.32,130.50,19633.70,2864.50,,,21-06-2022
