,relief distributed,District,Rice (in Dal Salt (in Q) (in Q) Q),,,M. Oil (in L),Cattle Feed - Green Fooder,Cattle Feed - Wheat Bran (in,Cattle Feed - Rice Bran (in Q),,,Date
0,,,,,,(in Q) Q),,,,,,30-05-2022
1,,Dima-Hasao,28.35 1.50,,0.57 150.00,0.00 0.00 0.00,,,,,,30-05-2022
2,,Total,28.35 1.50,,0.57 150.00,0.00 0.00 0.00,,,,,,30-05-2022
