,relief distributed,District,Rice (in Q),Dal (in Q),Salt (in Q),M. Oil (in L),Cattle Feed - Green Fooder (in Q),Cattle Feed - Wheat Bran (in Q),Cattle Feed - Rice Bran (in Q),,,Date
0,,Biswanath,88.02,16.96,3.63,363.06,0.00,93.00,0.00,,,19-05-2022
1,,Cachar,656.90,114.14,38.78,943.51,0.00,40.00,0.00,,,19-05-2022
2,,Darrang,385.80,73.36,22.08,2209.10,0.00,0.00,43.80,,,19-05-2022
3,,Dhemaji,11.17,1.93,0.57,57.96,0.00,0.00,0.00,,,19-05-2022
4,,Dibrugarh,0.00,0.00,0.00,0.00,0.00,112.50,0.00,,,19-05-2022
5,,Dima-Hasao,16.00,0.50,0.15,10.00,0.00,0.00,0.00,,,19-05-2022
6,,Hailakandi,0.00,0.00,0.00,0.00,0.00,19.00,0.00,,,19-05-2022
7,,Hojai,360.80,64.96,19.50,1948.62,0.00,0.00,0.00,,,19-05-2022
8,,Kamrup,0.44,0.08,0.02,2.40,0.00,0.00,0.00,,,19-05-2022
9,,Karbi Anglong West,13.13,2.40,0.72,0.72,0.00,0.00,0.00,,,19-05-2022
10,,Karimganj,17.03,3.14,0.94,0.00,0.00,0.00,0.00,,,19-05-2022
11,,Lakhimpur,24.83,4.55,1.36,136.00,0.00,0.00,283.05,,,19-05-2022
12,,Nagaon,4046.33 770.81,,237.12 0.00,0.00 1229.37 0.00,,,,,,19-05-2022
13,,Nalbari,0.00 0.00,,0.00 0.00,0.00 251.00 0.00,,,,,,19-05-2022
14,,Sonitpur,0.00 0.00,,0.00 0.00,0.00 146.56 0.00,,,,,,19-05-2022
15,,Udalguri,64.26 11.65,,3.50 349.53,0.00 0.00 0.00,,,,,,19-05-2022
16,,Total,5684.71 1064.48,,328.37 6020.90,0.00 1891.43 326.85,,,,,,19-05-2022
