,relief distributed,District,Rice (in Q),Dal (in Q),Salt (in Q),M. Oil (in L),Cattle Feed - Green Fooder (in Q),Cattle Feed - Wheat Bran (in Q),Cattle Feed - Rice Bran (in Q),,,Date
0,,Barpeta,0.00,0.00,0.00,0.00,0.00,270.81,0.00,,,23-05-2022
1,,Cachar,571.89,146.47,52.09,2234.00,0.00,0.00,0.00,,,23-05-2022
2,,Darrang,0.00,0.00,0.00,0.00,0.00,0.00,308.28,,,23-05-2022
3,,Dibrugarh,0.00,0.00,0.00,0.00,0.00,17.50,0.00,,,23-05-2022
4,,Dima-Hasao,37.17,3.54,1.77,177.00,0.00,0.00,0.00,,,23-05-2022
5,,Hailakandi,4.86,0.85,0.26,25.50,0.00,0.00,0.00,,,23-05-2022
6,,Hojai,44.00,2.55,1.30,69.00,0.00,0.00,0.00,,,23-05-2022
7,,Kamrup,3.65,0.65,0.20,0.20,0.00,234.82,0.00,,,23-05-2022
8,,Karbi Anglong,11.40,1.61,0.49,0.49,0.00,0.00,0.00,,,23-05-2022
9,,West,,,,,,,,,,23-05-2022
10,,Karimganj,11.81,2.26,0.68,0.00,0.00,0.00,0.00,,,23-05-2022
11,,Morigaon,600.10,106.95,32.09,0.00,0.00,256.00,0.00,,,23-05-2022
12,,Nagaon,2121.64,390.37,117.11,0.00,0.00,145.00,0.00,,,23-05-2022
13,,Udalguri,8.53,1.66,0.50,49.78,0.00,0.00,0.00,,,23-05-2022
14,,Total,3415.05,656.91,206.49,2555.97,0.00,924.13,308.28,,,23-05-2022
