,relief distributed,District,Rice (in Q),Dal (in Q),Salt (in Q),M. Oil (in L),Cattle Feed - Green Fooder (in Q),Cattle Feed - Wheat Bran (in Q),Cattle Feed - Rice Bran (in Q),,,Date
0,,Cachar,1217.12,223.93,36.50,6636.70,0.00,2823.00,0.00,,,21-05-2022
1,,Darrang,68.37,12.40,3.73,373.00,0.00,0.00,397.20,,,21-05-2022
2,,Dima-Hasao,1.65,0.31,0.13,85.26,0.00,0.00,0.00,,,21-05-2022
3,,Hailakandi,1.38,0.24,0.80,8.00,0.00,0.00,0.00,,,21-05-2022
4,,Hojai,644.81,95.56,278.23,27822.90,0.00,0.00,0.00,,,21-05-2022
5,,Kamrup,0.00,0.00,0.00,0.00,0.00,163.44,0.00,,,21-05-2022
6,,Karbi Anglong West,83.00,15.62,4.41,441.00,0.00,0.00,0.00,,,21-05-2022
7,,Karimganj,73.04,13.54,4.16,337.19,0.00,0.00,0.00,,,21-05-2022
8,,Lakhimpur,27.75,5.48,1.65,165.00,0.00,0.00,292.00,,,21-05-2022
9,,Morigaon,20.35,3.37,1.01,0.00,0.00,0.00,0.00,,,21-05-2022
10,,Nagaon,573.40,103.80,31.14,0.00,0.00,210.00,0.00,,,21-05-2022
11,,Nalbari,0.00,0.00,0.00,0.00,0.00,296.00,0.00,,,21-05-2022
12,,Sonitpur,0.00,0.00,0.00,0.00,0.00,115.80,0.00,,,21-05-2022
13,,Udalguri,1.59,0.31,0.09,9.30,0.00,0.00,0.00,,,21-05-2022
14,,Total,2712.46,474.56,361.85,35878.35,0.00,3608.24,689.20,,,21-05-2022
