,relief distributed,District,Rice (in Q),Dal (in Q),Salt (in Q),M. Oil (in L),Cattle Feed - Green Fooder (in Q),Cattle Feed - Wheat Bran (in Q),Cattle Feed - Rice Bran (in Q),,,Date
0,,Biswanath,1.21,0.22,0.03,2.70,0.00,0.00,0.00,,,20-05-2022
1,,Cachar,369.00,19.78,10.04,804.00,0.00,658.00,0.00,,,20-05-2022
2,,Darrang,327.45,59.90,17.88,1788.00,0.00,0.00,792.50,,,20-05-2022
3,,Dima-Hasao,20.00,25.00,13.00,9.00,0.00,0.00,0.00,,,20-05-2022
4,,Hailakandi,36.12,6.64,2.08,201.00,0.00,0.00,0.00,,,20-05-2022
5,,Hojai,277.45,51.96,15.58,998.56,0.00,0.00,100.00,,,20-05-2022
6,,Kamrup,0.00,0.00,0.00,0.00,0.00,384.44,0.00,,,20-05-2022
7,,Karbi Anglong West,13.13,2.40,0.72,0.72,0.00,0.00,0.00,,,20-05-2022
8,,Karimganj,112.02,21.55,6.47,0.00,0.00,0.00,0.00,,,20-05-2022
9,,Lakhimpur,0.00,0.00,0.00,0.00,0.00,0.00,39.00,,,20-05-2022
10,,Morigaon,13.10,2.68,0.80,0.00,0.00,0.00,0.00,,,20-05-2022
11,,Nagaon,229.40,42.36,12.71,0.00,0.00,440.00,0.00,,,20-05-2022
12,,Sonitpur,3.60,0.66,0.20,0.00,0.00,0.00,0.00,,,20-05-2022
13,,Udalguri,20.10,3.82,1.15,114.54,0.00,0.00,0.00,,,20-05-2022
14,,Total,1422.58,236.97,80.66,3918.52,0.00,1482.44,931.50,,,20-05-2022
