,relief distributed,District,Rice (in Q),Dal (in Q),Salt (in Q),M. Oil (in L),Cattle Feed - Green Fooder (in Q),Cattle Feed - Wheat Bran (in Q),Cattle Feed - Rice Bran (in Q),,,Date
0,,Biswanath,4.26,0.78,0.00,0.00,0.00,0.00,0.00,,,03-07-2022
1,,Cachar,0.00,0.00,0.00,0.00,0.00,0.00,3696.09,,,03-07-2022
2,,Dibrugarh,116.62,20.86,6.27,238.60,0.00,3.85,50.40,,,03-07-2022
3,,Hailakandi,70.51,13.19,3.95,395.00,0.00,25.00,0.00,,,03-07-2022
4,,Karimganj,243.82,45.08,13.52,1352.00,0.00,252.00,0.00,,,03-07-2022
5,,Lakhimpur,0.00,0.00,0.00,0.00,0.00,0.00,243.00,,,03-07-2022
6,,Morigaon,107.40,19.73,5.92,591.84,0.00,100.00,0.00,,,03-07-2022
7,,Nagaon,0.00,0.00,0.00,0.00,0.00,300.00,0.00,,,03-07-2022
8,,Sivasagar,0.00,0.00,0.00,0.00,0.00,100.00,0.00,,,03-07-2022
9,,Sonitpur,0.00,0.00,0.00,0.00,0.00,23.58,0.00,,,03-07-2022
10,,Tinsukia,0.66,0.12,0.03,3.00,0.00,0.00,0.00,,,03-07-2022
11,,Udalguri,10.20,1.80,0.54,54.00,0.00,0.00,0.00,,,03-07-2022
12,,Total,553.47,101.56,30.23,2634.44,0.00,804.43,3989.49,,,03-07-2022
