,relief distributed,District,Rice (in Q),Dal (in Q),Salt (in Q),M. Oil (in L),Cattle Feed - Green Fooder (in Q),Cattle Feed - Wheat Bran (in Q),Cattle Feed - Rice Bran (in Q),,Date
0,,Dhemaji,241.48,42.47,12.72,1199.35,0.00,0.00,0.00,,12-10-2022
1,,Dibrugarh,63.13,11.57,3.47,186.00,0.00,0.00,0.00,,12-10-2022
2,,Lakhimpur,150.68,28.13,8.44,844.00,0.00,0.00,0.00,,12-10-2022
3,,Total,455.29,82.17,24.63,2229.35,0.00,0.00,0.00,,12-10-2022
