,relief distributed,District,Rice (in Q),Dal (in Q),Salt (in Q),M. Oil (in L),Cattle Feed - Green Fooder (in Q),Cattle Feed - Wheat Bran (in Q),Cattle Feed - Rice Bran (in Q),,,Date
0,,Bajali,605.98,18.35,12.13,807.92,0.00,1391.20,0.00,,,19-06-2022
1,,Baksa,237.50,42.47,12.95,1319.01,0.00,171.04,0.00,,,19-06-2022
2,,Barpeta,168.06,31.61,8.30,27.00,0.00,2830.00,0.00,,,19-06-2022
3,,Bongaigaon,1242.33,234.48,70.32,6432.50,0.00,881.25,0.00,,,19-06-2022
4,,Cachar,174.00,35.37,10.48,1048.00,0.00,0.00,0.00,,,19-06-2022
5,,Chirang,129.79,23.28,7.03,718.77,135.00,0.00,0.00,,,19-06-2022
6,,Darrang,430.82,110.53,18.85,2105.00,213.25,0.00,221.20,,,19-06-2022
7,,Dhemaji,10.20,1.86,0.55,55.89,0.00,217.00,0.00,,,19-06-2022
8,,Dhubri,27.65,5.09,10.38,152.61,0.00,3559.63,0.00,,,19-06-2022
9,,Dibrugarh,45.36,8.43,2.54,0.00,0.00,0.00,0.00,,,19-06-2022
10,,Dima-Hasao,21.00,2.00,1.00,100.00,0.00,0.00,0.00,,,19-06-2022
11,,Goalpara,143.04,25.64,7.70,769.14,0.00,1101.26,0.00,,,19-06-2022
12,,Golaghat,7.23,1.27,0.38,38.16,0.00,0.00,0.00,,,19-06-2022
13,,Hailakandi,14.87,2.78,0.84,69.71,0.00,0.00,0.00,,,19-06-2022
14,,Hojai,0.00,17.10,1.75,216.00,0.00,0.00,81.50,,,19-06-2022
15,,Kamrup,3367.72,484.93,424.39,15654.64,0.00,438.68,0.00,,,19-06-2022
16,,Karbi Anglong West,129.56,24.46,7.34,733.85,0.00,0.00,0.00,,,19-06-2022
17,,Karimganj,333.57,63.33,17.51,908.89,0.00,0.00,0.00,,,19-06-2022
18,,Kokrajhar,897.55,166.74,50.03,5002.05,100.00,887.00,0.00,,,19-06-2022
19,,Lakhimpur,156.71,28.27,8.49,848.61,0.00,126.30,150.34,,,19-06-2022
20,,Nagaon,141.13,25.57,7.68,0.00,0.00,250.00,0.00,,,19-06-2022
21,,Nalbari,70.71,12.52,3.75,375.66,0.00,1036.00,0.00,,,19-06-2022
22,,Sivasagar,106.50,18.88,5.66,0.00,0.00,0.00,0.00,,,19-06-2022
23,,Sonitpur,8.59,1.59,0.48,0.00,0.00,744.34,0.00,,,19-06-2022
24,,South Salmara,66.90,12.36,3.71,37.10,0.00,0.00,0.00,,,19-06-2022
25,,Tamulpur,631.30,150.78,23.38,206.38,0.00,6.00,0.00,,,19-06-2022
26,,Tinsukia,178.79,32.89,9.83,9.83,0.00,0.00,0.00,,,19-06-2022
27,,Udalguri,318.87,55.60,16.14,1317.18,0.00,0.00,0.00,,,19-06-2022
28,,Total,9665.73,1638.18,743.59,38953.90,448.25,13639.70,453.04,,,19-06-2022
