,relief distributed,District,Rice (in Q),Dal (in Q),Salt (in Q),M. Oil (in L),Cattle Feed - Green Fooder (in Q),Cattle Feed - Wheat Bran (in Q),Cattle Feed - Rice Bran (in Q),,,Date
0,,Bajali,0.00,0.00,0.00,4000.00,0.00,2350.68,0.00,,,24-06-2022
1,,Baksa,159.96,31.66,9.49,949.00,0.00,0.00,0.00,,,24-06-2022
2,,Barpeta,8643.82,1217.82,309.47,500.00,0.00,3318.60,755.00,,,24-06-2022
3,,Cachar,1128.76,208.16,34.65,6213.93,0.00,0.00,0.00,,,24-06-2022
4,,Chirang,12.98,2.38,0.71,71.00,0.00,0.00,0.00,,,24-06-2022
5,,Darrang,1624.03,327.30,102.74,11403.00,0.00,0.00,530.00,,,24-06-2022
6,,Dhemaji,98.99,18.16,5.44,544.62,0.00,84.38,0.00,,,24-06-2022
7,,Dhubri,27.61,6.02,1.24,150.27,0.00,1751.03,0.00,,,24-06-2022
8,,Dima-Hasao,18.93,2.35,1.86,117.50,0.00,0.00,0.00,,,24-06-2022
9,,Hailakandi,329.75,87.22,18.53,1853.40,0.00,0.00,0.00,,,24-06-2022
10,,Hojai,151.00,24.90,3.25,550.00,0.00,0.00,25.00,,,24-06-2022
11,,Kamrup,811.51,209.82,26.00,7328.83,0.00,787.15,0.00,,,24-06-2022
12,,Karbi Anglong West,16.61,5.95,0.94,94.23,0.00,0.00,0.00,,,24-06-2022
13,,Karimganj,1248.98,226.82,50.02,30.00,0.00,0.00,0.00,,,24-06-2022
14,,Lakhimpur,0.00,0.00,0.00,0.00,0.00,0.00,638.00,,,24-06-2022
15,,Morigaon,1210.79,217.16,65.15,0.00,30.00,0.00,96.00,,,24-06-2022
16,,Nagaon,2315.86,201.04,60.31,0.00,0.00,274.70,500.00,,,24-06-2022
17,,Nalbari,1785.52,263.52,78.96,4536.76,0.00,48.12,0.00,,,24-06-2022
18,,Sonitpur,0.00,0.00,0.00,0.00,0.00,164.18,0.00,,,24-06-2022
19,,Udalguri,17.70,3.15,0.94,94.30,0.00,9.20,26.00,,,24-06-2022
20,,Total,19602.80,3053.43,769.70,38436.84,30.00,8788.04,2570.00,,,24-06-2022
