,infrastructure damaged - embankment affected,District,Number,Details,Date
0,,Bajali,1,"Sarupeta - Erosion on Pahumara R/B embankment,16 KM at Dalorpathar | village : Dalorpathar | Reported by SDO , Water Resource Department, Bajali on 20/6/2022. | (Long - 91.149300, Lat - 26.530000)",20-06-2022
1,,Bongaigaon,2,"Dangtol - Mulagaon Chengmari Road at Panchapur Bridge approach | Chengmari | Embankment damaged at 4th, 5th & 6th KM. as per report received from PWRD, Bongaigaon date-20.06.2022 | (Long - 90.497923, Lat - 26.417318),  Boitamari - Pachagaon to Dakhapara Road | Pachagaon | Embankment damaged partially at 2nd KM. as per report received from PWRD, Bongaigaon date- 20.06.2022 | (Long - 90.469129, Lat - 26.334561)",20-06-2022
2,,Golaghat,1,"Bokakhat - Brahmaputra Dyke from KRF boundary to Diffaloo Pathar | Sukani Gaon at CH 19000 m | Breach like damage of embankment is occured at ch 19000 m due to overtopping for a length of 20.00m on 20.06.2022 | (Long - 93.517082, Lat - 26.657082)",20-06-2022
3,,Karimganj,1,"Nilambazar - Abdullapur left bank | Abdullapur | As reported by Water Resource dated on 20/06/2022 around 185 meter reach of bank damages (slump down) has been observed near the toe of the embankment along left bank of river Longai from Patharkandi to Nilambazar at Abdullapur area. | (Long - 92.344125, Lat - 24.741953)",20-06-2022
4,,Nalbari,1,"Barbhag - L/B of River Baralia from Bhoiratola to Dusutimukh | Dokoha | As per report of W. R department breach length 70 M dated : 18/06/2022 | (Long - 26.328253, Lat - 91.489736)",20-06-2022
5,,Total,6,,20-06-2022
