,infrastructure damaged - embankment affected,District,Number,Details,Date
0,,South Salmara,1,"Mankachar - 1. T/dyke (Embankment) | Pipulbari to Diara | As per report received from the Assistant Executive Engineer Hatsingimari W.R. Sub-Division, Hatsingimari on 24/06/2022, the T/dyke (Embankment) from Pipulbari to Diara has been damaged due to heavy rain fall and flood water from 0 M to 4500 M. | (Long - 25.627060, Lat - 89.925092)",24-06-2022
1,,Total,1,,24-06-2022
