,infrastructure damaged - embankment affected,District,Number,Details,Date
0,,Golaghat,11,"Golaghat - Ghiladhari Toranichuk | Toranichuk Forest Village | Damage length 100 m. FRIMS report on Flash Flood on 13-09-2022. | (Long - 94.030812, Lat - 26.312533),  Ghiladhari Toranichuk | Toranichuk Forest Village | Damage length 72 m. FRIMS report on Flash Flood on 13-09-2022. | (Long - 94.030848, Lat - 26.312378),  Ghiladhari Toranichuk | Toranichuk Forest Village | Damage length 100 m. FRIMS report on Flash Flood on 13-09-2022. | (Long - 94.030837, Lat - 26.312368),  Ghiladhari Toranichuk | Toranichuk Forest Village | Damage length 68 m. FRIMS report on Flash Flood on 13-09-2022. | (Long - 94.030823, Lat - 26.312554),  Ghiladhari Toranichuk | Toranichuk Forest Village | Damage length 89 m. FRIMS report on Flash Flood on 13-09-2022. | (Long - 94.033046, Lat - 26.310377),  Ghiladhari Toranichuk | Toranichuk Forest Village | Damage length 158 m. FRIMS report on Flash Flood on 13-09-2022. | (Long - 94.030828, Lat - 26.312558),  Ghiladhari Toranichuk | Toranichuk Forest Village | Damage length 70 m. FRIMS report on Flash Flood on 13-09-2022. | (Long - 94.032931, Lat - 26.310403),  Ghiladhari Toranichuk | Toranichuk Forest Village | Damage length 84 m. FRIMS report on Flash Flood on 13-09-2022. | (Long - 94.033052, Lat - 26.310149),  Ghiladhari Toranichuk | Choudang Pathar Rupkolia Forest Village | Damage length 83 m. FRIMS report on Flash Flood on 13-09-2022. | (Long - 94.033054, Lat - 26.310059),  Ghiladhari Toranichuk | Choudang Pathar Rupkolia Forest Village | Damage length 54 m. FRIMS report on Flash Flood on 13-09-2022. | (Long - 94.033068, Lat - 26.310147),  Ghiladhari Toranichuk | Choudang Pathar Rupkolia Forest Village | Damage length 88 m. FRIMS report on Flash Flood on 13-09-2022. | (Long - 94.033182, Lat - 26.310156)",15-09-2022
1,,Golaghat,,"Golaghat - Ghiladhari Toranichuk | Toranichuk Forest Village | Damage length 100 m. FRIMS report on Flash Flood on 13-09-2022. | (Long - 94.030812, Lat - 26.312533),  Ghiladhari Toranichuk | Toranichuk Forest Village | Damage length 72 m. FRIMS report on Flash Flood on 13-09-2022. | (Long - 94.030848, Lat - 26.312378),  Ghiladhari Toranichuk | Toranichuk Forest Village | Damage length 100 m. FRIMS report on Flash Flood on 13-09-2022. | (Long - 94.030837, Lat - 26.312368),  Ghiladhari Toranichuk | Toranichuk Forest Village | Damage length 68 m. FRIMS report on Flash Flood on 13-09-2022. | (Long - 94.030823, Lat - 26.312554),  Ghiladhari Toranichuk | Toranichuk Forest Village | Damage length 89 m. FRIMS report on Flash Flood on 13-09-2022. | (Long - 94.033046, Lat - 26.310377),  Ghiladhari Toranichuk | Toranichuk Forest Village | Damage length 158 m. FRIMS report on Flash Flood on 13-09-2022. | (Long - 94.030828, Lat - 26.312558),  Ghiladhari Toranichuk | Toranichuk Forest Village | Damage length 70 m. FRIMS report on Flash Flood on 13-09-2022. | (Long - 94.032931, Lat - 26.310403),  Ghiladhari Toranichuk | Toranichuk Forest Village | Damage length 84 m. FRIMS report on Flash Flood on 13-09-2022. | (Long - 94.033052, Lat - 26.310149),  Ghiladhari Toranichuk | Choudang Pathar Rupkolia Forest Village | Damage length 83 m. FRIMS report on Flash Flood on 13-09-2022. | (Long - 94.033054, Lat - 26.310059),  Ghiladhari Toranichuk | Choudang Pathar Rupkolia Forest Village | Damage length 54 m. FRIMS report on Flash Flood on 13-09-2022. | (Long - 94.033068, Lat - 26.310147),  Ghiladhari Toranichuk | Choudang Pathar Rupkolia Forest Village | Damage length 88 m. FRIMS report on Flash Flood on 13-09-2022. | (Long - 94.033182, Lat - 26.310156)",15-09-2022
2,,Total,11,,15-09-2022
